name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
			FinishedGoods,"23,795,000,000","20,497,000,000","17,174,000,000","16,047,000,000","11,461,000,000","10,243,000,000","8,299,000,000","7,411,000,000","6,031,000,000",,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,"67,613,000","86,044,000","85,344,000","21,308,000",,
		CurrentDeferredAssets,,,,,,,,,"453,000,000","351,000,000","196,000,000","272,000,000","204,000,000","147,000,000","78,000,000","89,000,000","81,388,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"453,000,000","351,000,000","196,000,000","272,000,000","204,000,000","147,000,000","78,000,000","89,000,000","81,388,000",,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,"18,500,000","300,000"
	TotalNonCurrentAssets,"188,462,000,000","128,914,000,000","87,547,000,000","71,113,000,000","37,621,000,000","28,970,000,000","23,178,000,000","15,534,000,000","11,259,000,000","7,788,000,000","5,050,000,000","4,016,000,000","2,157,000,000","1,321,000,000","990,000,000","767,000,000","709,112,000","341,224,000","374,773,000","429,627,000","774,040,000","1,459,373,000","224,206,000","11,700,000","1,200,000"
		NetPPE,"150,667,000,000","97,846,000,000","61,797,000,000","48,866,000,000","29,114,000,000","21,838,000,000","16,967,000,000","10,949,000,000","7,060,000,000","4,417,000,000","2,414,000,000","1,290,000,000","854,000,000","543,000,000","457,000,000","348,000,000","246,156,000","224,285,000","239,398,000","271,751,000","366,416,000","317,613,000","29,791,000","9,300,000","1,000,000"
			GrossPPE,"211,101,000,000","144,821,000,000","95,770,000,000","68,573,000,000","42,441,000,000","30,053,000,000","22,730,000,000","14,809,000,000","9,582,000,000","5,786,000,000","3,256,000,000","1,915,000,000","1,409,000,000","1,023,000,000","824,000,000","571,000,000","422,963,000","371,738,000","482,736,000","438,143,000","481,264,000","366,977,000","43,585,000","12,900,000","1,300,000"
				Properties,"0","0","0","0","0","0","0","0","0",,,,,,,,,,,,"0","0","0",,
				LandAndImprovements,"57,324,000,000","39,223,000,000","31,741,000,000","23,718,000,000","13,998,000,000","9,770,000,000","7,150,000,000","4,584,000,000","2,966,000,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,"107,367,000","43,968,000","5,535,000",,
				MachineryFurnitureEquipment,"97,224,000,000","71,310,000,000","54,591,000,000","38,387,000,000","25,989,000,000","18,417,000,000","14,213,000,000","9,274,000,000","6,228,000,000","3,216,000,000","2,505,000,000","1,500,000,000","1,243,000,000","945,000,000","762,000,000",,,,"482,736,000","205,687,000","317,806,000","187,345,000","37,608,000",,
				OtherProperties,"41,325,000,000","28,252,000,000","2,577,000,000","2,390,000,000","649,000,000","334,000,000","304,000,000","231,000,000","174,000,000","2,464,000,000","491,000,000","137,000,000","79,000,000","63,000,000","62,000,000",,,,,"207,610,000","51,969,000","52,374,000","442,000",,
				ConstructionInProgress,"15,228,000,000","6,036,000,000","6,861,000,000","4,078,000,000","1,805,000,000","1,532,000,000","1,063,000,000","720,000,000","214,000,000","106,000,000","260,000,000","278,000,000","87,000,000","15,000,000",,,,,,"24,846,000","4,122,000","83,290,000",,,
			AccumulatedDepreciation,"-60,434,000,000","-46,975,000,000","-33,973,000,000","-19,707,000,000","-13,327,000,000","-8,215,000,000","-5,763,000,000","-3,860,000,000","-2,522,000,000","-1,369,000,000","-842,000,000","-625,000,000","-555,000,000","-480,000,000","-367,000,000","-223,000,000","-176,807,000","-147,453,000","-243,338,000","-166,392,000","-114,848,000","-49,364,000","-13,794,000","-3,600,000","-300,000"
		GoodwillAndOtherIntangibleAssets,"19,998,000,000","18,803,000,000","18,658,000,000","16,721,000,000","4,638,000,000","4,521,000,000","4,083,000,000","3,300,000,000","3,277,000,000","2,602,000,000","1,912,000,000","1,801,000,000","598,000,000","248,000,000","216,000,000","159,000,000","138,999,000","69,639,000","74,271,000","79,749,000","255,325,000","730,144,000","186,377,000",,
			Goodwill,"15,017,000,000","14,754,000,000","14,548,000,000","13,350,000,000","3,784,000,000","3,759,000,000","3,319,000,000","2,655,000,000","2,552,000,000","1,955,000,000","1,349,000,000","1,234,000,000","438,000,000","222,000,000","195,000,000",,,,,,,,,,
			OtherIntangibleAssets,"4,981,000,000","4,049,000,000","4,110,000,000","3,371,000,000","854,000,000","762,000,000","764,000,000","645,000,000","725,000,000","647,000,000","563,000,000","567,000,000","160,000,000","26,000,000","21,000,000","159,000,000","138,999,000","69,639,000","74,271,000","79,749,000","255,325,000","730,144,000","186,377,000",,
		NonCurrentDeferredAssets,,,,,,,,,"123,000,000","28,000,000","22,000,000","18,000,000","145,000,000","260,000,000","199,000,000","223,000,000","281,757,000",,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,"123,000,000","28,000,000","22,000,000","18,000,000","145,000,000","260,000,000","199,000,000","223,000,000","281,757,000",,,,,,,,
		OtherNonCurrentAssets,"17,797,000,000","12,265,000,000","7,092,000,000","5,526,000,000","3,869,000,000","2,611,000,000","2,128,000,000","1,285,000,000","799,000,000","741,000,000","702,000,000","907,000,000","560,000,000","270,000,000","118,000,000","37,000,000","42,200,000","47,300,000","61,104,000","78,127,000","152,299,000","411,616,000","8,038,000","2,400,000","200,000"
TotalLiabilitiesNetMinorityInterest,"227,791,000,000","163,188,000,000","119,099,000,000","103,601,000,000","64,117,000,000","52,060,000,000","43,764,000,000","30,413,000,000","24,363,000,000","17,521,000,000","11,933,000,000","8,556,000,000","5,642,000,000","5,288,000,000","3,932,000,000","3,450,000,000","3,475,719,000","3,198,140,000","3,343,263,000","3,077,547,000","3,102,420,000","2,205,273,000","509,715,000","120,500,000","4,900,000"
	CurrentLiabilities,"126,385,000,000","87,812,000,000","68,391,000,000","57,883,000,000","43,816,000,000","33,899,000,000","28,089,000,000","22,980,000,000","19,002,000,000","14,896,000,000","10,372,000,000","7,364,000,000","4,746,000,000","3,714,000,000","2,532,000,000","1,929,000,000","1,620,400,000","1,252,701,000","1,065,958,000","921,414,000","974,956,000","738,935,000","161,575,000","43,800,000","4,900,000"
		PayablesAndAccruedExpenses,"116,677,000,000","79,622,000,000","61,855,000,000","52,786,000,000","39,048,000,000","30,781,000,000","26,266,000,000","21,821,000,000","19,002,000,000","14,896,000,000","10,372,000,000","7,364,000,000","4,687,000,000","3,714,000,000","2,532,000,000","1,929,000,000","1,502,861,000","1,137,541,000","933,063,000","749,812,000","758,066,000","644,935,000","126,344,000","32,700,000","2,900,000"
			Payables,"72,539,000,000","47,183,000,000","38,192,000,000","34,616,000,000","25,309,000,000","20,397,000,000","16,459,000,000","15,133,000,000","13,318,000,000","11,145,000,000","8,051,000,000","5,605,000,000","3,594,000,000","2,795,000,000","1,816,000,000","1,366,000,000","1,141,733,000","819,811,000","618,128,000","444,748,000","485,383,000","463,026,000","113,273,000","32,700,000","2,900,000"
				AccountsPayable,"72,539,000,000","47,183,000,000","38,192,000,000","34,616,000,000","25,309,000,000","20,397,000,000","16,459,000,000","15,133,000,000","13,318,000,000","11,145,000,000","8,051,000,000","5,605,000,000","3,594,000,000","2,795,000,000","1,816,000,000","1,366,000,000","1,141,733,000","819,811,000","618,128,000","444,748,000","485,383,000","463,026,000","113,273,000","32,700,000","2,900,000"
			CurrentAccruedExpenses,"44,138,000,000","32,439,000,000","23,663,000,000","18,170,000,000","13,739,000,000","10,384,000,000","9,807,000,000","6,688,000,000","5,684,000,000","3,751,000,000","2,321,000,000","1,759,000,000","1,093,000,000","919,000,000","716,000,000","563,000,000","361,128,000","317,730,000","314,935,000","305,064,000","272,683,000","181,909,000","13,071,000",,
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,"59,000,000",,,,"2,381,000","4,216,000","13,318,000","14,992,000","16,577,000","14,322,000","684,000","1,500,000",
			CurrentDebt,,,,,,,,,,,,,"59,000,000",,,,"2,381,000","4,216,000","13,318,000","14,992,000","16,577,000","14,322,000","684,000","1,500,000",
		CurrentDeferredLiabilities,"9,708,000,000","8,190,000,000","6,536,000,000","5,097,000,000","4,768,000,000","3,118,000,000","1,823,000,000","1,159,000,000",,,,,,,,,"41,099,000","37,844,000","47,916,000","87,978,000",,"54,790,000",,,
			CurrentDeferredRevenue,"9,708,000,000","8,190,000,000","6,536,000,000","5,097,000,000","4,768,000,000","3,118,000,000","1,823,000,000","1,159,000,000",,,,,,,,,"41,099,000","37,844,000","47,916,000","87,978,000",,"54,790,000",,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,"74,059,000","73,100,000","71,661,000","68,632,000","200,313,000","24,888,000","34,547,000","9,600,000","2,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"101,406,000,000","75,376,000,000","50,708,000,000","45,718,000,000","20,301,000,000","18,161,000,000","15,675,000,000","7,433,000,000","5,361,000,000","2,625,000,000","1,561,000,000","1,192,000,000","896,000,000","1,574,000,000","1,400,000,000","1,521,000,000","1,855,319,000","1,945,439,000","2,277,305,000","2,156,133,000","2,127,464,000","1,466,338,000","348,140,000","76,700,000",
		LongTermDebtAndCapitalLeaseObligation,"84,389,000,000","63,205,000,000","39,787,000,000","37,926,000,000","15,213,000,000","14,183,000,000","12,489,000,000","5,181,000,000","3,830,000,000","1,415,000,000","641,000,000","252,000,000","533,000,000","1,344,000,000","1,267,000,000","1,521,000,000","1,855,319,000","1,945,439,000","2,277,305,000","2,156,133,000","2,127,464,000","1,466,338,000","348,140,000","76,700,000",
			LongTermDebt,"31,816,000,000","23,414,000,000","23,495,000,000","24,743,000,000","7,694,000,000","8,235,000,000","8,265,000,000","3,191,000,000","3,084,000,000","255,000,000","184,000,000","109,000,000","409,000,000","1,282,000,000","1,247,000,000","1,521,000,000","1,855,319,000","1,945,439,000","2,277,305,000","2,156,133,000","2,127,464,000","1,466,338,000","348,140,000","76,700,000",
			LongTermCapitalLeaseObligation,"52,573,000,000","39,791,000,000","16,292,000,000","13,183,000,000","7,519,000,000","5,948,000,000","4,224,000,000","1,990,000,000","746,000,000","1,160,000,000","457,000,000","143,000,000","124,000,000","62,000,000","20,000,000",,,,,,,,,,
		NonCurrentDeferredLiabilities,,,"2,386,000,000","1,994,000,000","1,787,000,000","2,016,000,000","1,531,000,000","1,028,000,000","336,000,000",,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,,,"2,386,000,000","1,994,000,000","1,787,000,000","2,016,000,000","1,531,000,000","1,028,000,000","336,000,000",,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,,,,,,,,,,"243,000,000","202,000,000","144,000,000","98,000,000","75,000,000",,,,,,,,,,
		OtherNonCurrentLiabilities,"17,017,000,000","12,171,000,000","8,535,000,000","5,798,000,000","3,301,000,000","1,962,000,000","1,655,000,000","1,224,000,000","1,195,000,000","1,210,000,000","677,000,000","738,000,000","219,000,000","132,000,000","58,000,000",,,,,,,,,,
TotalEquityGrossMinorityInterest,"93,404,000,000","62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
	StockholdersEquity,"93,404,000,000","62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
		CapitalStock,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,097,000","4,034,000","3,879,000","3,732,000","3,571,000","3,452,000","1,593,000",,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,
			CommonStock,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,097,000","4,034,000","3,879,000","3,732,000","3,571,000","3,452,000","1,593,000",,
		AdditionalPaidInCapital,"42,865,000,000","33,658,000,000","26,791,000,000","21,389,000,000","17,186,000,000","13,394,000,000","11,135,000,000","9,573,000,000","8,347,000,000","6,990,000,000","6,325,000,000","5,736,000,000","4,121,000,000","3,063,000,000","2,517,000,000","2,263,000,000","2,124,598,000","1,899,398,000","1,649,946,000","1,462,769,000","1,338,303,000","1,195,540,000","300,130,000",,
		RetainedEarnings,"52,551,000,000","31,220,000,000","19,625,000,000","8,636,000,000","4,916,000,000","2,545,000,000","1,949,000,000","2,190,000,000","1,916,000,000","1,955,000,000","1,324,000,000","172,000,000","-730,000,000","-1,375,000,000","-1,837,000,000","-2,027,000,000","-2,385,977,000","-2,974,428,000","-3,009,710,000","-2,860,578,000","-2,293,301,000","-882,028,000","-162,060,000","-33,600,000","-6,000,000"
		TreasuryStock,"1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","877,000,000","600,000,000","600,000,000","600,000,000","500,000,000","252,000,000",,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-180,000,000","-986,000,000","-1,035,000,000","-484,000,000","-985,000,000","-723,000,000","-511,000,000","-185,000,000","-239,000,000","-316,000,000","-190,000,000","-56,000,000","-123,000,000","5,000,000","-1,000,000","6,000,000","30,071,000","34,889,000","3,071,000","-45,923,000","-15,824,000","-50,686,000","-918,000",,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,"62,100,000","9,400,000"
TotalCapitalization,"125,220,000,000","85,474,000,000","67,044,000,000","52,452,000,000","26,979,000,000","21,619,000,000","19,006,000,000","12,937,000,000","11,276,000,000","8,012,000,000","7,048,000,000","5,366,000,000","3,081,000,000","2,479,000,000","1,678,000,000","1,767,000,000","1,628,108,000","909,332,000","924,491,000","716,133,000","1,160,213,000","1,732,616,000","486,885,000","105,200,000","3,400,000"
CommonStockEquity,"93,404,000,000","62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
CapitalLeaseObligations,"52,573,000,000","39,791,000,000","16,292,000,000","13,183,000,000","7,519,000,000","5,948,000,000","4,224,000,000","1,990,000,000","746,000,000","1,160,000,000","457,000,000","143,000,000","124,000,000","62,000,000","20,000,000",,,,,,,,,,
NetTangibleAssets,"73,406,000,000","43,257,000,000","24,891,000,000","10,988,000,000","14,647,000,000","8,863,000,000","6,658,000,000","6,446,000,000","4,915,000,000","5,155,000,000","4,952,000,000","3,456,000,000","2,074,000,000","949,000,000","215,000,000","87,000,000","-366,210,000","-1,105,746,000","-1,427,085,000","-1,519,749,000","-1,222,576,000","-463,866,000","-47,632,000","28,500,000","3,400,000"
WorkingCapital,"6,348,000,000","8,522,000,000","6,710,000,000","2,314,000,000","1,965,000,000","2,575,000,000","3,238,000,000","1,645,000,000","2,294,000,000","2,594,000,000","3,375,000,000","2,433,000,000","1,411,000,000","1,450,000,000","841,000,000","1,000,000,000","918,996,000","568,108,000","549,718,000","286,506,000","386,173,000","273,243,000","262,679,000","93,500,000","2,200,000"
InvestedCapital,"125,220,000,000","85,474,000,000","67,044,000,000","52,452,000,000","26,979,000,000","21,619,000,000","19,006,000,000","12,937,000,000","11,276,000,000","8,012,000,000","7,048,000,000","5,366,000,000","3,140,000,000","2,479,000,000","1,678,000,000","1,767,000,000","1,630,489,000","913,548,000","937,809,000","731,125,000","1,176,790,000","1,746,938,000","487,569,000","106,700,000","3,400,000"
TangibleBookValue,"73,406,000,000","43,257,000,000","24,891,000,000","10,988,000,000","14,647,000,000","8,863,000,000","6,658,000,000","6,446,000,000","4,915,000,000","5,155,000,000","4,952,000,000","3,456,000,000","2,074,000,000","949,000,000","215,000,000","87,000,000","-366,210,000","-1,105,746,000","-1,427,085,000","-1,519,749,000","-1,222,576,000","-463,866,000","-47,632,000","28,500,000","3,400,000"
TotalDebt,"84,389,000,000","63,205,000,000","39,787,000,000","37,926,000,000","15,213,000,000","14,183,000,000","12,489,000,000","5,181,000,000","3,830,000,000","1,415,000,000","641,000,000","252,000,000","592,000,000","1,344,000,000","1,267,000,000","1,521,000,000","1,857,700,000","1,949,655,000","2,290,623,000","2,171,125,000","2,144,041,000","1,480,660,000","348,824,000","78,200,000",
NetDebt,,,,"4,221,000,000",,,,,,,,,,,"225,000,000","508,000,000","555,100,000","847,382,000","1,552,369,000","1,630,843,000","1,321,606,000","1,363,698,000","323,263,000",,
ShareIssued,"527,000,000","521,000,000","514,000,000","507,000,000","500,000,000","494,000,000","488,000,000","483,000,000","478,000,000","473,000,000","468,000,000","461,000,000","431,000,000","416,000,000","414,000,000","416,000,000","409,711,000","403,354,000","387,906,000","373,218,000","357,140,000","345,155,000","318,534,000","287,532,000","286,594,000"
OrdinarySharesNumber,"503,000,000","498,000,000","491,000,000","484,000,000","477,000,000","471,000,000","465,000,000","459,000,000","454,000,000","455,000,000","451,000,000","444,000,000","431,000,000","416,000,000","414,000,000","416,000,000","409,711,000","403,354,000","387,906,000","373,218,000","357,140,000","345,155,000","318,534,000","287,532,000","286,594,000"
TreasurySharesNumber,"24,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","24,000,000","24,000,000","18,000,000","17,000,000","17,000,000",,,,,,,,,,,,,
